,section_number,section_title,equation,variables
10,1,Section 1,"{""expression"": ""r \\\\text{ radius of root fillet}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""17e80b15-0de0-480d-9d81-4c4d7f38e563"", ""description"": ""The radius of the root fillet."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""17e80b15-0de0-480d-9d81-4c4d7f38e563"", ""type"": ""equation"", ""variables"": []}",[]
11,1,Section 1,"{""expression"": ""r_{1} \\\\text{ radius of root fillet}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""9cb87802-20bd-4cba-b27b-e7a04104f2de"", ""description"": ""The radius of the root fillet (alternative notation)."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""9cb87802-20bd-4cba-b27b-e7a04104f2de"", ""type"": ""equation"", ""variables"": []}",[]
12,1,Section 1,"{""expression"": ""r_{2} \\\\text{ toe radius}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""5eee8bdf-cd2b-4d76-9be7-46b43f110930"", ""description"": ""The toe radius."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""5eee8bdf-cd2b-4d76-9be7-46b43f110930"", ""type"": ""equation"", ""variables"": []}",[]
13,1,Section 1,"{""expression"": ""t \\\\text{ thickness}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""c18f50a2-522a-49f1-9ad4-f2f64fb99df3"", ""description"": ""The thickness of the member."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""c18f50a2-522a-49f1-9ad4-f2f64fb99df3"", ""type"": ""equation"", ""variables"": []}",[]
14,1.2.1,General reference standards,"{""expression"": ""EN 1090"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""111950e8-8f12-452e-b56c-2d5297339ed8"", ""description"": ""Execution of steel structures - Technical requirements"", ""parent_uuid"": ""89c82902-67a1-4ab5-ac79-7900536281c5"", ""uuid"": ""111950e8-8f12-452e-b56c-2d5297339ed8"", ""type"": ""equation"", ""variables"": [], ""output_variable"": ""None""}",[]
15,1.2.1,General reference standards,"{""expression"": ""EN ISO 12944"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""86006784-ccee-49e3-a192-9aef09e923f3"", ""description"": ""Paints and varnishes - Corrosion protection of steel structures by protective paint systems"", ""parent_uuid"": ""89c82902-67a1-4ab5-ac79-7900536281c5"", ""uuid"": ""86006784-ccee-49e3-a192-9aef09e923f3"", ""type"": ""equation"", ""variables"": [], ""output_variable"": ""None""}",[]
16,1.2.1,General reference standards,"{""expression"": ""AC 2 EN ISO 1461 $4 AC_{2}$"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""504404b4-30e5-4189-aa8d-192411838536"", ""description"": ""Hot dip galvanized coatings on fabricated iron and steel articles - specifications and test methods"", ""parent_uuid"": ""89c82902-67a1-4ab5-ac79-7900536281c5"", ""uuid"": ""504404b4-30e5-4189-aa8d-192411838536"", ""type"": ""equation"", ""variables"": [], ""output_variable"": ""None""}",[]
17,1.5.6,buckling length,"{""expression"": ""L_{b} = k_{l} \\\\cdot L_{0}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""c4d1dc5c-e91d-4ba2-803a-f4faea4c8f9b"", ""description"": ""The buckling length (L_{b}) is calculated as the product of the effective length factor (k_{l}) and the unbraced length (L_{0})."", ""parent_uuid"": ""07cbadb6-84ca-4684-86b3-84566c7145f4"", ""uuid"": ""c4d1dc5c-e91d-4ba2-803a-f4faea4c8f9b"", ""type"": ""equation""}","[{""unit"": ""null"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""fbac13d8-4b4f-4e79-af8f-6f30334c9a76"", ""description"": ""Effective length factor"", ""name"": ""k_{l}"", ""parent_uuid"": ""c4d1dc5c-e91d-4ba2-803a-f4faea4c8f9b"", ""uuid"": ""fbac13d8-4b4f-4e79-af8f-6f30334c9a76"", ""type"": ""variable""}, {""unit"": ""m"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""e253a218-e3bc-4915-b883-4d7443c75559"", ""description"": ""Unbraced length of the member"", ""name"": ""L_{0}"", ""parent_uuid"": ""c4d1dc5c-e91d-4ba2-803a-f4faea4c8f9b"", ""uuid"": ""e253a218-e3bc-4915-b883-4d7443c75559"", ""type"": ""variable""}]"
18,2,Section 2,"{""expression"": ""P_{k}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""d0922511-5b4c-49ed-8646-0a19206fcc22"", ""description"": ""Nominal value of the effect of prestressing imposed during erection"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""d0922511-5b4c-49ed-8646-0a19206fcc22"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""be1d4b88-50a1-4237-bb06-8f4d60a31678"", ""description"": ""Nominal value of the effect of prestressing imposed during erection"", ""name"": ""P_{k}"", ""parent_uuid"": ""d0922511-5b4c-49ed-8646-0a19206fcc22"", ""uuid"": ""be1d4b88-50a1-4237-bb06-8f4d60a31678"", ""type"": ""variable""}]"
19,2,Section 2,"{""expression"": ""G_{k}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""f199f388-8e04-4297-848d-7c564dd70795"", ""description"": ""Nominal value of the effect of permanent actions"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""f199f388-8e04-4297-848d-7c564dd70795"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""6573bd15-5a65-40c7-a8dd-b930bd57e3eb"", ""description"": ""Nominal value of the effect of permanent actions"", ""name"": ""G_{k}"", ""parent_uuid"": ""f199f388-8e04-4297-848d-7c564dd70795"", ""uuid"": ""6573bd15-5a65-40c7-a8dd-b930bd57e3eb"", ""type"": ""variable""}]"
20,2,Section 2,"{""expression"": ""X_{k}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""16ceccea-a113-417f-90be-40059d75a019"", ""description"": ""Characteristic values of material property"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""16ceccea-a113-417f-90be-40059d75a019"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""2b0a31f9-8ed5-402c-b79f-d6d139250bab"", ""description"": ""Characteristic values of material property"", ""name"": ""X_{k}"", ""parent_uuid"": ""16ceccea-a113-417f-90be-40059d75a019"", ""uuid"": ""2b0a31f9-8ed5-402c-b79f-d6d139250bab"", ""type"": ""variable""}]"
21,2,Section 2,"{""expression"": ""X_{n}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""2203cd28-9f21-465c-a83d-06a596ac4c36"", ""description"": ""Nominal values of material property"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""2203cd28-9f21-465c-a83d-06a596ac4c36"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""843548c5-6333-464b-9c4d-0a4207cb9568"", ""description"": ""Nominal values of material property"", ""name"": ""X_{n}"", ""parent_uuid"": ""2203cd28-9f21-465c-a83d-06a596ac4c36"", ""uuid"": ""843548c5-6333-464b-9c4d-0a4207cb9568"", ""type"": ""variable""}]"
22,2,Section 2,"{""expression"": ""R_{d}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""7c64c026-c967-4355-81de-3d4fbff8c99b"", ""description"": ""Design value of resistance"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""7c64c026-c967-4355-81de-3d4fbff8c99b"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""d2d0f544-2f19-4529-8e8b-cf7e7d529908"", ""description"": ""Design value of resistance"", ""name"": ""R_{d}"", ""parent_uuid"": ""7c64c026-c967-4355-81de-3d4fbff8c99b"", ""uuid"": ""d2d0f544-2f19-4529-8e8b-cf7e7d529908"", ""type"": ""variable""}]"
23,2,Section 2,"{""expression"": ""R_{k}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""de25b03d-888a-4341-b14f-80b72a0a648d"", ""description"": ""Characteristic value of resistance"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""de25b03d-888a-4341-b14f-80b72a0a648d"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""35eec3c1-56f3-47a9-9e3f-997136e039c6"", ""description"": ""Characteristic value of resistance"", ""name"": ""R_{k}"", ""parent_uuid"": ""de25b03d-888a-4341-b14f-80b72a0a648d"", ""uuid"": ""35eec3c1-56f3-47a9-9e3f-997136e039c6"", ""type"": ""variable""}]"
24,2,Section 2,"{""expression"": ""\\\\gamma_{M}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""21d9bb0f-2ca7-45b0-80ef-89e8eb7712cf"", ""description"": ""General partial factor"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""21d9bb0f-2ca7-45b0-80ef-89e8eb7712cf"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""287695b0-64ee-4b9c-babd-3814879c2870"", ""description"": ""General partial factor"", ""name"": ""\\\\gamma_{M}"", ""parent_uuid"": ""21d9bb0f-2ca7-45b0-80ef-89e8eb7712cf"", ""uuid"": ""287695b0-64ee-4b9c-babd-3814879c2870"", ""type"": ""variable""}]"
25,2,Section 2,"{""expression"": ""\\\\gamma_{Mi}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""bf7621c4-a0d8-4fd4-a4cf-08872020ca9d"", ""description"": ""Particular partial factor"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""bf7621c4-a0d8-4fd4-a4cf-08872020ca9d"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""cb625bc8-3efe-40b5-b743-7fc04540c1c0"", ""description"": ""Particular partial factor"", ""name"": ""\\\\gamma_{Mi}"", ""parent_uuid"": ""bf7621c4-a0d8-4fd4-a4cf-08872020ca9d"", ""uuid"": ""cb625bc8-3efe-40b5-b743-7fc04540c1c0"", ""type"": ""variable""}]"
26,2,Section 2,"{""expression"": ""\\\\gamma_{Mf}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""8ebcc6f2-c90f-45fb-bc01-24d793589b48"", ""description"": ""Partial factor for fatigue"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""8ebcc6f2-c90f-45fb-bc01-24d793589b48"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""f894e44e-3f98-4e1c-aee8-c3f82ce4b8ec"", ""description"": ""Partial factor for fatigue"", ""name"": ""\\\\gamma_{Mf}"", ""parent_uuid"": ""8ebcc6f2-c90f-45fb-bc01-24d793589b48"", ""uuid"": ""f894e44e-3f98-4e1c-aee8-c3f82ce4b8ec"", ""type"": ""variable""}]"
27,2,Section 2,"{""expression"": ""\\\\eta"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""87712994-dabb-4be8-b639-27d6a3e36d37"", ""description"": ""Conversion factor"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""87712994-dabb-4be8-b639-27d6a3e36d37"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""30489fe4-f5d2-4949-b46b-df0e6070b6dd"", ""description"": ""Conversion factor"", ""name"": ""\\\\eta"", ""parent_uuid"": ""87712994-dabb-4be8-b639-27d6a3e36d37"", ""uuid"": ""30489fe4-f5d2-4949-b46b-df0e6070b6dd"", ""type"": ""variable""}]"
28,2,Section 2,"{""expression"": ""a_{d}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""9a818d35-7495-4078-b886-60e1f823f5fc"", ""description"": ""Design value of geometrical data"", ""parent_uuid"": ""bcf94bf1-00b2-4e82-81ec-8758ee63acb5"", ""uuid"": ""9a818d35-7495-4078-b886-60e1f823f5fc"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""c68c19e4-bfba-4c83-a85a-357eeaf45568"", ""description"": ""Design value of geometrical data"", ""name"": ""a_{d}"", ""parent_uuid"": ""9a818d35-7495-4078-b886-60e1f823f5fc"", ""uuid"": ""c68c19e4-bfba-4c83-a85a-357eeaf45568"", ""type"": ""variable""}]"
29,2.1.3.1,General,"{""expression"": ""AC_{1}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""description"": ""General requirements for the durability of steel structures based on the type of action and design working life."", ""parent_uuid"": ""972ae989-5a40-4498-9f05-c4c433597823"", ""uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""d2a80956-68f7-4b58-a063-3d7449412c37"", ""description"": ""The type of action affecting durability."", ""name"": ""Type of action"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""d2a80956-68f7-4b58-a063-3d7449412c37"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""b7c277d6-9c44-4515-8060-f3f112026836"", ""description"": ""The intended lifespan of the structure as per EN 1990."", ""name"": ""Design working life"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""b7c277d6-9c44-4515-8060-f3f112026836"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""062734be-57a0-4d81-a8e0-7badc7a9c1c6"", ""description"": ""Methods to protect against corrosion including surface protection, weathering steel, and stainless steel."", ""name"": ""Corrosion protection methods"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""062734be-57a0-4d81-a8e0-7badc7a9c1c6"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""54e65188-6533-4932-88d9-c99b7ce42e5b"", ""description"": ""The required fatigue life of the structure as per EN 1993-1-9."", ""name"": ""Fatigue life"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""54e65188-6533-4932-88d9-c99b7ce42e5b"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""7656cd6c-c5b0-48fc-a93a-9d434dbe73b4"", ""description"": ""Design considerations for wear resistance."", ""name"": ""Wearing design"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""7656cd6c-c5b0-48fc-a93a-9d434dbe73b4"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""fea415d0-afd3-4bd1-8712-fd582c9b5af9"", ""description"": ""Design considerations for accidental actions as per EN 1991-1-7."", ""name"": ""Accidental actions"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""fea415d0-afd3-4bd1-8712-fd582c9b5af9"", ""type"": ""variable""}, {""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""a11a3a22-0751-49bd-84ba-464dfaf8bc8b"", ""description"": ""Requirements for the inspection and maintenance of the structure."", ""name"": ""Inspection and maintenance"", ""parent_uuid"": ""b5d5997f-4d99-4ddc-a1f4-6d4368f55b2d"", ""uuid"": ""a11a3a22-0751-49bd-84ba-464dfaf8bc8b"", ""type"": ""variable""}]"
30,2.1.3.2,Design working life for buildings,"{""expression"": ""A C_{1}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""b5f95f76-4d74-4e72-8175-99c08005a8c0"", ""description"": ""The design working life shall be taken as the period for which a building structure is expected to be used for its intended purpose."", ""parent_uuid"": ""a6159013-feed-4450-97b5-bdc376f1d1a2"", ""uuid"": ""b5f95f76-4d74-4e72-8175-99c08005a8c0"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""years"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""46b599e7-3a18-4e6b-a3e7-469368db0bb3"", ""description"": ""The expected period for which a building structure is intended to be used."", ""name"": ""Design Working Life"", ""parent_uuid"": ""b5f95f76-4d74-4e72-8175-99c08005a8c0"", ""uuid"": ""46b599e7-3a18-4e6b-a3e7-469368db0bb3"", ""type"": ""variable""}]"
31,2.1.3.3,Durability for buildings,"{""expression"": ""A_{1}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""bcb49066-3c30-4e86-8de5-2f2e50d71d4a"", ""description"": ""Durability requirement for buildings and their components to be designed for environmental actions and fatigue or protected from them."", ""parent_uuid"": ""e0dbf84a-600c-47f2-995e-2c23fb3ad54c"", ""uuid"": ""bcb49066-3c30-4e86-8de5-2f2e50d71d4a"", ""type"": ""equation"", ""variables"": [], ""output_variable"": ""None""}",[]
32,2.1.3.3,Durability for buildings,"{""expression"": ""A C_{1}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""829efb1e-e32f-411b-9fa0-7412b26aed13"", ""description"": ""Consideration of material deterioration, corrosion, or fatigue through appropriate material choice and structural redundancy."", ""parent_uuid"": ""e0dbf84a-600c-47f2-995e-2c23fb3ad54c"", ""uuid"": ""829efb1e-e32f-411b-9fa0-7412b26aed13"", ""type"": ""equation"", ""variables"": [], ""output_variable"": ""None""}",[]
